1 - Qual a sua idade?,2 - Reside em Cachoeira do sul ou se mudaria para a cidade:,"3 - Se não reside em Cachoeira do Sul, mora em qual cidade?",4 - Qual a sua escolaridade:,"5 - Se possuí formação superior, qual o nível:","6 - Se você trabalha, qual a sua área de atuação:",7 - Seria a sua primeira vez estudando na UFSM-CS:,8 - Qual curso está cursando na UFSM-CS?,9 - Em quanto tempo pretende iniciar uma graduação?,"10 - Teria interesse em cursos da área de Exatas (como Matemática, Física, Química, Engenharia, entre outros)? Essa área abrange cursos voltados para o raciocínio lógico, cálculo, experimentação e tecnologia, podendo ter foco em pesquisa, indústria ou ensino (Licenciatura).","11 - Na sua opinião, qual a maior dificuldade para iniciar ou concluir uma graduação:","12 - Sobre o curso apresentado (Ciências Exatas e Sustentabilidade Tecnológica), você teria interesse em cursá-lo na UFSM-CS?",13 - Qual seu nível de interesse em fazer o curso apresentado?,14 - Qual turno seria mais adequado para você fazer o curso?,15 - Quais fatores te influenciam na escolha do curso? (marque até 2),16 - Você estaria disposto a fazer o curso mesmo se precisasse trabalhar e estudar ao mesmo tempo?,17 - Qual é o seu nível de interesse em um curso de Engenharia de Software?,"18 -  Se não tem interesse em nenhum desses cursos, teria interesse em algum outro:",19 - Em qual dos cursos ofertados pela UFSM-CS você tem interesse?,"20 - Em qual curso,  não ofertado pela UFSM-CS ,  você tem interesse?",24 - Você conhece alguém que teria interesse em fazer alguns dos cursos apresentados?,Identificação
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Superior incompleto,Não tenho,Não estou trabalhando,"Não, estou cursando outro curso na UFSM-CS no momento",Engenharia Mecânica,,"Talvez, dependendo do curso",Falta de dinheiro,"Não, pois já estou cursando outro curso na UFSM-CS",,,,,,,,,,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Humaitá - RS ,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,3 – Interesse moderado,Noturno,"Afinidade com a área, Opinião de familiares/amigos",Sim,Tenho interesse,,,,Não,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Humaitá - RS ,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Não,Outro
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Superior incompleto,Não tenho,Beleza / Estética,"Não, tranquei o último curso",,Já estou cursando,"Talvez, dependendo do curso",Falta de dinheiro,Sim,2 – Tenho pouco interesse,Noturno,"Afinidade com a área, Remuneração no mercado",Sim,Talvez teria interesse,,,,Não,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Sede Nova - RS,Ensino Superior incompleto,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,Não tenho interesse,,,,,,,,,,,Não,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Humaitá - RS ,Ensino Superior incompleto,Não tenho,Comércio / Vendas / Atendimento,Sim,,Em 1–2 anos,"Sim, tenho interesse",Distância,"Não, mas tenho interesse em outro curso ofertado na UFSM-CS",,,,,,,Arquitetura e Urbanismo,,Sim,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Sede Nova - RS,Ensino Superior incompleto,Não tenho,Manutenção / Limpeza,"Não, estou cursando outro curso na UFSM-CS no momento",Engenharia de Transporte e Logística,,"Sim, tenho interesse",Falta de tempo,Talvez,1 – Não tenho interesse,Noturno,"Afinidade com a área, Facilidade de inserção profissional",Sim,Tenho interesse,,,,Sim,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Humaitá - RS ,Ensino Superior incompleto,Não tenho,Educação / Ensino / Pedagogia,Sim,,Em 1–2 anos,"Sim, tenho interesse",Distância,Sim,4- Interesse alto,Noturno,Afinidade com a área,Sim,Tenho interesse,,,,Não,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Humaitá - RS ,Ensino Superior incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,2 – Tenho pouco interesse,Noturno,"Afinidade com a área, Opinião de familiares/amigos",Talvez,Não tenho interesse,"Não, não tenho interesse em cursar graduação no momento",,,Não,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Humaitá - RS ,Ensino Superior incompleto,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,"Sim, tenho interesse",Falta de dinheiro,Talvez,2 – Tenho pouco interesse,Noturno,"Afinidade com a área, Facilidade de inserção profissional",Sim,Não tenho interesse,"Sim, tenho interesse em outro curso da UFSM-CS",Arquitetura e Urbanismo,,Sim,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Humaitá - RS ,Ensino Superior incompleto,Não tenho,Agricultura ,Sim,,Em 1–2 anos,"Sim, tenho interesse",Distância,Sim,3 – Interesse moderado,Noturno,"Afinidade com a área, Facilidade de inserção profissional",Sim,Talvez teria interesse,,,,Não,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Sede Nova - RS,Ensino Superior incompleto,Não tenho,Agricultura ,Sim,,Em 1–2 anos,Não tenho interesse,,,,,,,,,,,Não,Outro
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Trabalho / família,Talvez,2 – Tenho pouco interesse,Noturno,"Remuneração no mercado, Prestígio da profissão",Talvez,Tenho interesse,,,,Sim,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Falta de dinheiro,"Não, mas tenho interesse em outro curso não ofertado na UFSM-CS",,,,,,,,Econômia,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Sim, tenho interesse",Falta de tempo,Talvez,2 – Tenho pouco interesse,Diurno,"Afinidade com a área, Remuneração no mercado",Talvez,Talvez teria interesse,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,Não tenho interesse,,,,,,,,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,Não tenho interesse,,,,,,,,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Sim, tenho interesse",Trabalho / família,Não,,,,,Talvez teria interesse,,,,Sim,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,Não tenho interesse,,,,,,,,,,,Sim,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Sim,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Sim, tenho interesse",Falta de informação,Talvez,4- Interesse alto,Diurno,"Remuneração no mercado, Prestígio da profissão, Opinião de familiares/amigos",Talvez,Talvez teria interesse,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Sim, tenho interesse",Falta de tempo,Talvez,3 – Interesse moderado,Noturno,"Afinidade com a área, Remuneração no mercado",Sim,Tenho interesse,,,,Sim,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,"Talvez, dependendo do curso",Falta de informação,Talvez,3 – Interesse moderado,Noturno,"Remuneração no mercado, Facilidade de inserção profissional",Sim,Tenho interesse,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Escola
25–34,"Sim, eu moro em Cachoeira do Sul",,Pós-graduação,Licenciatura,Educação / Ensino / Pedagogia,Sim,,Em 1–2 anos,"Sim, tenho interesse",Falta de tempo,Sim,5 - Interesse muito alto,Noturno,Afinidade com a área,Sim,Talvez teria interesse,,,,Sim,Outro
35+,"Sim, eu moro em Cachoeira do Sul",,Pós-graduação,Bacharel,Educação / Ensino / Pedagogia,"Não, tranquei o último curso",,Em até 1 ano,"Sim, tenho interesse",Trabalho / família,Sim,2 – Tenho pouco interesse,Integral,"Afinidade com a área, Duração do curso",Sim,Não tenho interesse,"Sim, tenho interesse em outro curso da UFSM-CS",Engenharia Mecânica,,Não,Outro
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Comércio / Vendas / Atendimento,Sim,,Em 1–2 anos,"Talvez, dependendo do curso",Falta de dinheiro,Sim,4- Interesse alto,Diurno,"Facilidade de inserção profissional, Prestígio da profissão",Sim,Talvez teria interesse,,,,Não,Outro
35+,"Sim, eu moro em Cachoeira do Sul",,Pós-graduação,Licenciatura,Educação / Ensino / Pedagogia,Sim,,Ainda sem previsão,"Sim, tenho interesse",Trabalho / família,"Não, mas tenho interesse em outro curso não ofertado na UFSM-CS",,,,,,,,Licenciatura,Sim,Outro
35+,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Ibarama - RS,Pós-graduação,Licenciatura,Educação / Ensino / Pedagogia,Sim,,Sem interesse,Não tenho interesse,,,,,,,,,,,Não,Outro
35+,"Sim, eu moro em Cachoeira do Sul",,Ensino Superior completo,Bacharel,Direito,Sim,,Em até 1 ano,"Talvez, dependendo do curso",Falta de dinheiro,Sim,2 – Tenho pouco interesse,Noturno,Remuneração no mercado,Sim,Talvez teria interesse,,,,Sim,Outro
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Superior incompleto,Não tenho,Estagiário,"Não, estou cursando outro curso na UFSM-CS no momento",Engenharia de Transporte e Logística,,"Talvez, dependendo do curso",Falta de tempo,Sim,4- Interesse alto,Noturno,"Afinidade com a área, Remuneração no mercado, Prestígio da profissão",Sim,Talvez teria interesse,,,,Sim,Outro
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Superior incompleto,Técnico,Freelancer / Autônomo,Sim,,Em até 1 ano,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,3 – Interesse moderado,Noturno,"Remuneração no mercado, Facilidade de inserção profissional",Sim,Tenho interesse,,,,Não,Outro
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Técnico,Não estou trabalhando,Sim,,Em 1–2 anos,"Talvez, dependendo do curso",Falta de informação,Sim,4- Interesse alto,Noturno,Facilidade de inserção profissional,Talvez,Tenho interesse,,,,Sim,Outro
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Superior incompleto,Não tenho,Não estou trabalhando,Sim,,Já estou cursando,"Sim, tenho interesse",Trabalho / família,"Não, pois já estou cursando outro curso na UFSM-CS",,,,,,,,,,Outro
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Superior incompleto,Técnico,Não estou trabalhando,Sim,,Já estou cursando,"Sim, tenho interesse",Falta de tempo,"Não, pois já estou cursando outro curso na UFSM-CS",,,,,,,,,,Outro
25–34,"Sim, eu moro em Cachoeira do Sul",,Pós-graduação,Licenciatura,Administração / Gestão,Sim,,Em até 1 ano,"Sim, tenho interesse",Trabalho / família,Sim,4- Interesse alto,Diurno,Prestígio da profissão,Sim,Não tenho interesse,Ainda não sei / Estou em dúvida,,,Sim,Outro
35+,"Sim, eu moro em Cachoeira do Sul",,Pós-graduação,Bacharel,Educação / Ensino / Pedagogia,Sim,,Em 1–2 anos,"Sim, tenho interesse",Falta de dinheiro,Talvez,3 – Interesse moderado,Noturno,"Afinidade com a área, Facilidade de inserção profissional",Sim,Talvez teria interesse,,,,Não,Outro
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Outro
25–34,"Sim, eu moro em Cachoeira do Sul",,Ensino Superior completo,Licenciatura,Não estou trabalhando,Sim,,Sem interesse,"Talvez, dependendo do curso",Trabalho / família,"Não, mas conheço alguém que teria interesse",,,,,,,,,Sim,Outro
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Comércio / Vendas / Atendimento,Sim,,Em 1–2 anos,Não tenho interesse,,,,,,,,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Comércio / Vendas / Atendimento,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Técnico,Estagiário,Sim,,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Estagiário,Sim,,Sem interesse,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Técnico,Estagiário,Sim,,Sem interesse,"Talvez, dependendo do curso",Falta de tempo,"Não, pois já estou cursando outro curso em outra instituição",,,,,,,,,,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Estagiário,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Falta de informação,Sim,3 – Interesse moderado,Diurno,Opinião de familiares/amigos,Talvez,Talvez teria interesse,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,"Talvez, dependendo do curso",Falta de dinheiro,Não,,,,,Não tenho interesse,"Sim, mas em outro curso não ofertado pela UFSM-CS",,Agronomia ,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Já estou cursando,"Talvez, dependendo do curso",Vou servir as forças armadas ,Não,,,,,Tenho interesse,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Estagiário,Sim,,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Sim,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Técnico,Não estou trabalhando,Sim,,Em 1–2 anos,Não tenho interesse,,,,,,,,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,"Talvez, dependendo do curso",Falta de informação,Talvez,3 – Interesse moderado,Diurno,"Afinidade com a área, Facilidade de inserção profissional",Sim,Talvez teria interesse,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,"Talvez, dependendo do curso",Falta de dinheiro,Não,,,,,Não tenho interesse,"Não, não tenho interesse em cursar graduação no momento",,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Freelancer / Autônomo,Sim,,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,"Talvez, dependendo do curso",Falta de informação,Talvez,2 – Tenho pouco interesse,Diurno,Opinião de familiares/amigos,Talvez,Talvez teria interesse,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Jovem Aprendiz,Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,3 – Interesse moderado,Noturno,"Afinidade com a área, Prestígio da profissão",Sim,Tenho interesse,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,"Talvez, dependendo do curso",Falta de dinheiro,Não,,,,,Não tenho interesse,"Sim, mas em outro curso não ofertado pela UFSM-CS",,Fisioterapia ,Não,Escola
35+,"Sim, eu moro em Cachoeira do Sul",,Pós-graduação,Licenciatura,Educação / Ensino / Pedagogia,Sim,,Nos próximos 6 meses,"Sim, tenho interesse",Falta de tempo,Sim,5 - Interesse muito alto,Noturno,"Afinidade com a área, Duração do curso",Sim,Tenho interesse,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,2 – Tenho pouco interesse,Diurno,"Afinidade com a área, ",Talvez,Não tenho interesse,"Sim, mas em outro curso não ofertado pela UFSM-CS",,Veterinária,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Já estou cursando,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,2 – Tenho pouco interesse,Diurno,Afinidade com a área,Sim,Não tenho interesse,Ainda não sei / Estou em dúvida,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Superior incompleto,Não tenho,Não estou trabalhando,Sim,,Já estou cursando,"Sim, tenho interesse",Falta de dinheiro,Sim,4- Interesse alto,Diurno,Remuneração no mercado,Talvez,Talvez teria interesse,,,,Sim,Escola
18–24,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Lajeado - RS,Ensino Médio completo,Técnico,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Distância,Talvez,3 – Interesse moderado,Noturno,"Afinidade com a área, Facilidade de inserção profissional",Talvez,Talvez teria interesse,,,,Sim,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Bom Retiro do Sul -  RS,Ensino Médio incompleto,Técnico,Indústria / Produção,Sim,,Em 1–2 anos,"Sim, tenho interesse",Trabalho / família,Talvez,3 – Interesse moderado,Noturno,"Afinidade com a área, Prestígio da profissão",Sim,Tenho interesse,,,,Sim,Outro
18–24,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Lajeado - RS,Ensino Superior incompleto,Técnico,Administração / Gestão,Sim,,Em até 1 ano,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,4- Interesse alto,Noturno,"Afinidade com a área, Facilidade de inserção profissional",Sim,Tenho interesse,,,,Sim,Outro
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Técnico,Administração / Gestão,Sim,,Ainda sem previsão,"Sim, tenho interesse",Falta de dinheiro,Não,,,,,Talvez teria interesse,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Técnico,Freelancer / Autônomo,Sim,,Em 1–2 anos,"Talvez, dependendo do curso",Falta de tempo,"Não, mas tenho interesse em outro curso não ofertado na UFSM-CS",,,,,,,,Direito,Não,Escola
25–34,"Sim, eu moro em Cachoeira do Sul",,Ensino Superior completo,Bacharel,Educação / Ensino / Pedagogia,Sim,,Ainda sem previsão,"Sim, tenho interesse",Falta de tempo,Talvez,3 – Interesse moderado,Diurno,"Afinidade com a área, Prestígio da profissão",Sim,Tenho interesse,,,,Não,Escola
25–34,"Sim, eu moro em Cachoeira do Sul",,Ensino Superior incompleto,Bacharel,Estagiário,Sim,,Já estou cursando,"Talvez, dependendo do curso",Falta de tempo,Talvez,3 – Interesse moderado,Noturno,"Remuneração no mercado, Facilidade de inserção profissional",Sim,Talvez teria interesse,,,,Sim,Escola
25–34,"Sim, eu moro em Cachoeira do Sul",,Ensino Superior completo,Licenciatura,Não estou trabalhando,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Manutenção \ Limpeza,Sim,,Em até 1 ano,"Sim, tenho interesse",Falta de dinheiro,Sim,3 – Interesse moderado,Noturno,Afinidade com a área,Sim,Tenho interesse,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Escola
25–34,"Sim, eu moro em Cachoeira do Sul",,Ensino Superior incompleto,Técnico,Técnico em Segurança do Trabalho ,Sim,,Já estou cursando,Não tenho interesse,,,,,,,,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Freelancer / Autônomo,Sim,,Em até 1 ano,"Talvez, dependendo do curso",Falta de dinheiro,Sim,3 – Interesse moderado,Noturno,Afinidade com a área,Sim,Tenho interesse,,,,Não,Escola
35+,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Manutenção \ Limpeza,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Comércio / Vendas / Atendimento,Sim,,Já estou cursando,"Talvez, dependendo do curso",Falta de tempo,"Não, pois já estou cursando outro curso em outra instituição",,,,,,,,,,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Técnico,Não estou trabalhando,Sim,,Ainda sem previsão,"Sim, tenho interesse",Falta de dinheiro,Não,,,,,Tenho interesse,,,,Não,Escola
25–34,"Sim, eu moro em Cachoeira do Sul",,Ensino Superior completo,Bacharel,Tecnologia da Informação (TI),Sim,,Em até 1 ano,"Sim, tenho interesse",Falta de tempo,Sim,3 – Interesse moderado,Diurno,"Remuneração no mercado, Facilidade de inserção profissional, Prestígio da profissão",Talvez,Tenho interesse,,,,Não,Escola
35+,"Sim, eu moro em Cachoeira do Sul",,Pós-graduação,Licenciatura,Educação / Ensino / Pedagogia,Sim,,Nos próximos 6 meses,"Sim, tenho interesse",Trabalho / família,Sim,5 - Interesse muito alto,Noturno,Afinidade com a área,Sim,Tenho interesse,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,Não tenho interesse,,,,,,,,,,,Não,Escola
35+,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Manutenção \ Limpeza,Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Trabalho / família,Talvez,2 – Tenho pouco interesse,Noturno,Facilidade de inserção profissional,Talvez,Talvez teria interesse,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Não,Outro
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Freelancer / Autônomo,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Outro
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Indústria / Produção,Sim,,Sem interesse,Não tenho interesse,,,,,,,,,,,Não,Outro
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,Não tenho interesse,,,,,,,,,,,Não,Outro
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,"Talvez, dependendo do curso",Falta de dinheiro,Não,,,,,Talvez teria interesse,,,,Sim,Outro
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Falta de dinheiro,Não,,,,,Não tenho interesse,Ainda não sei / Estou em dúvida,,,Não,Outro
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Estagiário,Sim,,Em 1–2 anos,"Talvez, dependendo do curso",Falta de dinheiro,"Não, mas tenho interesse em outro curso não ofertado na UFSM-CS",,,,,,,,Biomedicina,Não,Outro
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Militar,Sim,,Em até 1 ano,"Sim, tenho interesse",Falta de tempo,Sim,2 – Tenho pouco interesse,Noturno,"Afinidade com a área, Remuneração no mercado",Sim,Talvez teria interesse,,,,Sim,Outro
